Region of usual residence,2019,2020,2021,2022,2023,2019,2020,2021,2022,2023
New South Wales,486,479,504,586,534,5.4,5.3,5.5,6.4,5.7
Greater Sydney,239,218,256,276,271,4.3,3.9,4.5,4.9,4.8
Rest of NSW,244,255,248,303,261,7.4,7.6,7.3,8.6,7.3
Victoria,273,319,371,387,382,3.9,4.5,5.2,5.4,5.1
Greater Melbourne,164,226,245,269,243,3.2,4.3,4.7,5.1,4.4
Rest of Vic,108,91,124,113,138,5.8,5.1,6.9,6.1,7.1
Queensland,278,328,361,411,389,4.9,5.8,6.1,6.9,6.3
Greater Brisbane,108,140,139,167,165,4.2,5.3,5.1,6.1,5.8
Rest of Qld,166,187,220,242,214,5.5,6.1,6.9,7.6,6.6
South Australia,120,104,121,119,112,6,5.1,6,5.7,5.2
Greater Adelaide,88,78,87,82,73,5.9,5,5.7,5.1,4.5
Rest of SA,30,26,32,36,36,5.8,5.4,7,7.7,6.8
Western Australia,143,172,153,167,144,4.9,5.9,5,5.4,4.6
Greater Perth,102,136,109,120,105,4.4,5.9,4.6,5,4.3
Rest of WA,40,35,41,47,35,6.5,5.7,6.1,7.3,5.4
Tasmania,52,57,40,65,61,7.5,8.1,5.7,9.4,8.3
Greater Hobart,22,24,14,29,25,7.5,8.3,0,9.4,8.5
Rest of Tasmania,30,33,26,36,35,7.6,8,6.7,9.8,8.1
Northern Territory,26,27,22,19,16,12.5,11.8,9.2,0,0
Greater Darwin,14,9,11,10,5,0,0,0,0,0
Rest of NT,11,16,11,8,10,0,0,0,0,0
Australian Capital Territory,11,24,19,26,29,0,5.4,0,5.7,6.3
Capital Cities,748,855,880,979,916,4.1,4.7,4.8,5.3,4.8
Remainder of States,629,643,702,785,729,6.4,6.5,7,7.7,7
Australia,"1,390","1,510","1,591","1,780","1,667",5,5.4,5.6,6.2,5.6
